# Source: https://mesonet.agron.iastate.edu/GIS/rasters.php?rid=4
# Retrieved: 2026-09-13. Complete native table; index/2 - 32 dBZ; 255=Missing.
# Native archive has no alpha channel; tile service makes background transparent.
index,dbz,r,g,b,a
0,-32,0,0,0,255
1,-31.5,0,0,0,255
2,-31,0,0,0,255
3,-30.5,0,0,0,255
4,-30,0,0,0,255
5,-29.5,0,0,0,255
6,-29,0,0,0,255
7,-28.5,0,0,0,255
8,-28,0,0,0,255
9,-27.5,0,0,0,255
10,-27,0,0,0,255
11,-26.5,0,0,0,255
12,-26,0,0,0,255
13,-25.5,0,0,0,255
14,-25,0,0,0,255
15,-24.5,0,0,0,255
16,-24,0,0,0,255
17,-23.5,0,0,0,255
18,-23,0,0,0,255
19,-22.5,0,0,0,255
20,-22,0,0,0,255
21,-21.5,0,0,0,255
22,-21,0,0,0,255
23,-20.5,0,0,0,255
24,-20,0,0,0,255
25,-19.5,0,0,0,255
26,-19,0,0,0,255
27,-18.5,0,0,0,255
28,-18,0,0,0,255
29,-17.5,0,0,0,255
30,-17,0,0,0,255
31,-16.5,0,0,0,255
32,-16,0,0,0,255
33,-15.5,0,0,0,255
34,-15,0,0,0,255
35,-14.5,0,0,0,255
36,-14,0,0,0,255
37,-13.5,0,0,0,255
38,-13,0,0,0,255
39,-12.5,0,0,0,255
40,-12,0,0,0,255
41,-11.5,0,0,0,255
42,-11,0,0,0,255
43,-10.5,0,0,0,255
44,-10,0,0,0,255
45,-9.5,0,0,0,255
46,-9,0,0,0,255
47,-8.5,0,0,0,255
48,-8,0,0,0,255
49,-7.5,0,0,0,255
50,-7,0,0,0,255
51,-6.5,0,0,0,255
52,-6,0,0,0,255
53,-5.5,0,0,0,255
54,-5,0,0,0,255
55,-4.5,0,0,0,255
56,-4,0,0,0,255
57,-3.5,0,0,0,255
58,-3,0,0,0,255
59,-2.5,0,0,0,255
60,-2,0,0,0,255
61,-1.5,0,0,0,255
62,-1,0,0,0,255
63,-0.5,0,0,0,255
64,0,0,0,0,255
65,0.5,0,0,0,255
